Symbol,Sector,Price,% Change,Score,RSI,RSI Zone,ATR%,EMA20,Trend,Sentiment Bar,Momentum,News Sentiment,Distance to EMA%,Exhaustion,Pullback Window,Breakout Window,Exp Ride Length,Vol Shape,Freshness Index,Rel Momentum,Why This Stock,Future Pred (5d),Risk Indicator,notes,Leadership Rank,Tier,Rank Change
ROIV,Healthcare,20.56,1.33,67.63,67.2,Neutral,3.87,19.6219,Bullish,★★★★☆ →,4.9,0.0,4.78,No,Not expected,Not imminent,1.9,Increasing,0.17,4.9,Strong trend,20.76,Low,,266.0,,-
NEE,Utilities,85.75,2.23,67.6,62.27,Neutral,1.93,83.5133,Bullish,★★★★☆ →,4.85,0.0,2.68,No,Not expected,Not imminent,2.1,Decreasing,0.05,4.85,Strong trend,86.58,Low,,268.0,,-
ARWR,Healthcare,40.15,-2.69,67.55,55.77,Neutral,5.97,39.5924,Bullish,★★★★☆ →,1.36,0.0,1.41,No,Not expected,Not imminent,2.0,Increasing,0.06,1.36,Balanced metrics,40.26,High,,502.0,,-
KO,Consumer Defensive,70.68,-0.67,67.54,58.43,Neutral,1.56,69.8194,Bullish,★★★★☆ →,3.99,0.0,1.23,No,Not expected,Not imminent,1.7,Decreasing,0.0,3.99,Balanced metrics,71.24,Low,,315.0,,-
AEO,Consumer Cyclical,17.66,0.57,67.53,59.43,Neutral,4.31,16.9847,Bullish,★★★★☆ →,6.84,0.0,3.98,No,Not expected,Not imminent,1.6,Increasing,0.0,6.84,Strong trend; Healthy momentum,17.9,Low,,181.0,,-
VLO,Energy,178.4,-1.85,67.52,59.41,Neutral,2.99,173.3231,Bullish,★★★★☆ →,3.96,0.0,2.93,No,Not expected,Not imminent,2.2,Decreasing,0.25,3.96,Strong trend,179.81,Low,,317.5,,-
INDA,Unknown,54.65,0.05,67.4,56.83,Neutral,0.81,54.2209,Neutral,★★★★☆ →,0.76,0.0,0.79,No,Not expected,Not imminent,1.8,Decreasing,0.01,0.76,Balanced metrics,54.73,Low,,562.5,,-
RCI,Communication Services,38.53,0.42,67.32,58.24,Neutral,1.77,37.9998,Bullish,★★★★☆ →,0.13,0.0,1.4,No,Not expected,Not imminent,2.0,Decreasing,0.05,0.13,Balanced metrics,38.54,Low,,652.5,,-
CRNX,Healthcare,43.52,1.99,67.21,55.33,Neutral,4.92,42.3044,Bullish,★★★★☆ →,1.56,0.0,2.87,No,Not expected,Not imminent,1.9,Increasing,0.0,1.56,Strong trend,43.66,Low,,483.0,,-
CTRE,Real Estate,36.38,1.39,67.21,59.66,Neutral,2.52,35.5331,Bullish,★★★★☆ →,3.03,0.0,2.38,No,Not expected,Not imminent,2.0,Decreasing,0.12,3.03,Balanced metrics,36.6,Low,,367.0,,-
REGN,Healthcare,704.31,1.56,67.08,76.17,Overbought,2.87,649.4621,Bullish,★★★★☆ ↓,9.66,0.0,8.45,No,Likely soon,Not imminent,2.1,Increasing,0.0,9.66,Strong trend; Healthy momentum,717.92,High,,124.0,,-
SOBO,Energy,27.6,0.66,67.0,62.05,Neutral,1.87,26.4926,Bullish,★★★★☆ →,7.73,0.0,4.18,No,Not expected,Imminent,1.9,Increasing,0.02,7.73,Strong trend; Healthy momentum,28.03,Low,,163.0,,-
REYN,Consumer Cyclical,24.23,-0.02,67.0,52.63,Neutral,2.94,24.2015,Neutral,★★★★☆ →,-0.23,0.0,0.1,No,Not expected,Not imminent,2.0,Increasing,0.0,-0.23,Balanced metrics,24.21,Low,,758.0,,-
APA,Energy,24.38,-1.65,66.97,56.64,Neutral,3.79,23.6312,Bullish,★★★★☆ →,8.4,0.0,3.17,No,Not expected,Not imminent,2.2,Increasing,0.02,8.4,Strong trend; Healthy momentum,24.79,Low,,145.0,,-
VTLE,Energy,16.82,-4.05,66.95,52.99,Neutral,5.65,16.4591,Bullish,★★★★☆ →,3.57,0.0,2.19,No,Not expected,Not imminent,2.2,Increasing,0.0,3.57,Balanced metrics,16.94,High,,337.0,,-
BOIL,Unknown,32.86,-6.17,66.95,54.01,Neutral,6.48,32.1337,Bullish,★★★★☆ →,2.53,0.0,2.26,No,Not expected,Not imminent,2.1,Increasing,0.0,2.53,Balanced metrics,33.03,High,,402.0,,-
DHR,Healthcare,220.44,-0.35,66.94,61.95,Neutral,2.32,215.113,Bullish,★★★★☆ →,2.98,0.0,2.48,No,Not expected,Not imminent,2.1,Decreasing,0.0,2.98,Balanced metrics,221.75,Low,,372.5,,-
BIL,Unknown,91.6,0.0,66.9,96.33,Overbought,0.02,91.4731,Neutral,★★★★☆ ↓,0.14,0.0,0.14,Possible,Not expected,Not imminent,4.3,Increasing,0.25,0.14,Balanced metrics,91.63,High,,646.0,,-
GSK,Healthcare,47.53,0.74,66.82,64.67,Neutral,1.98,46.0501,Bullish,★★★★☆ →,3.44,0.0,3.21,No,Not expected,Not imminent,2.2,Decreasing,0.14,3.44,Strong trend,47.86,Low,,345.0,,-
ARQT,Healthcare,26.17,4.68,66.8,66.0,Neutral,5.78,23.4778,Bullish,★★★★☆ →,5.69,0.0,11.47,No,Likely soon,Not imminent,1.8,Increasing,1.0,5.69,Strong trend; Healthy momentum; Recent high,26.47,High,,220.5,,-
SCHO,Unknown,24.36,0.04,66.72,57.69,Neutral,0.09,24.3427,Neutral,★★★★☆ →,0.12,0.0,0.07,No,Not expected,Not imminent,1.8,Decreasing,0.03,0.12,Balanced metrics,24.37,Low,,657.5,,-
XEL,Utilities,81.31,0.91,66.65,57.19,Neutral,1.96,80.6225,Neutral,★★★★☆ →,0.06,0.0,0.85,No,Not expected,Not imminent,2.1,Decreasing,0.02,0.06,Balanced metrics,81.32,Low,,678.0,,-
RIO,Basic Materials,70.49,-0.2,66.63,56.27,Neutral,1.8,69.924,Neutral,★★★★☆ →,0.17,0.0,0.81,No,Not expected,Not imminent,2.1,Decreasing,0.05,0.17,Balanced metrics,70.51,Low,,634.0,,-
OVV,Energy,38.2,-2.43,66.55,49.65,Neutral,3.33,38.1744,Neutral,★★★★☆ →,1.76,0.0,0.07,No,Not expected,Not imminent,2.1,Increasing,0.0,1.76,Balanced metrics,38.33,Low,,464.0,,-
ISRG,Healthcare,546.71,-0.51,66.52,59.05,Neutral,2.4,537.6399,Bullish,★★★★☆ →,0.46,0.0,1.69,No,Not expected,Not imminent,1.9,Decreasing,0.0,0.46,Balanced metrics,547.21,Low,,589.0,,-
FTI,Energy,42.73,-2.2,66.47,60.57,Neutral,2.78,41.683,Bullish,★★★★☆ →,1.5,0.0,2.51,No,Not expected,Not imminent,2.1,Decreasing,0.12,1.5,Strong trend,42.86,Low,,488.5,,-
LLY,Healthcare,1021.7,-0.35,66.45,81.88,Overbought,3.45,925.9529,Bullish,★★★★☆ ↓,14.13,0.0,10.34,Possible,Likely soon,Not imminent,2.4,Increasing,0.25,14.13,Strong trend; Healthy momentum,1050.57,High,,71.0,,-
IONS,Healthcare,73.26,2.39,66.44,56.07,Neutral,4.78,71.9084,Bullish,★★★★☆ →,-0.53,0.0,1.88,No,Not expected,Not imminent,2.1,Increasing,0.08,-0.53,Balanced metrics,73.18,Low,,804.0,,-
SMST,Unknown,65.79,4.21,66.43,78.86,Overbought,8.85,45.8016,Bullish,★★★★☆ ↓,71.84,0.0,43.63,No,Likely soon,Not imminent,1.9,Increasing,0.0,71.84,Strong trend; Healthy momentum,75.24,High,,5.0,,-
ABVX,Healthcare,113.62,2.93,66.41,69.64,Neutral,5.44,101.6375,Bullish,★★★★☆ →,14.94,0.0,11.79,No,Likely soon,Imminent,2.5,Increasing,1.0,14.94,Strong trend; Healthy momentum; Recent high,117.01,High,,61.5,,-
BSCR,Unknown,19.73,-0.03,66.4,60.01,Neutral,0.11,19.7169,Neutral,★★★★☆ →,0.15,0.0,0.07,No,Not expected,Not imminent,1.7,Increasing,0.14,0.15,Balanced metrics,19.74,Low,,641.5,,-
MRK,Healthcare,92.86,-0.06,66.39,70.29,Overbought,2.84,88.3007,Bullish,★★★★☆ ↓,12.57,0.0,5.16,No,Not expected,Not imminent,2.0,Increasing,0.0,12.57,Strong trend; Healthy momentum,95.19,High,,87.0,,-
PARR,Energy,44.99,2.72,66.36,63.95,Neutral,6.44,40.7674,Bullish,★★★★☆ →,9.17,0.0,10.36,No,Likely soon,Imminent,2.1,Increasing,1.0,9.17,Strong trend; Healthy momentum; Recent high,45.82,High,,132.0,,-
KMI,Energy,27.14,-1.02,66.34,56.57,Neutral,1.85,26.6932,Bullish,★★★★☆ →,4.06,0.0,1.67,No,Not expected,Not imminent,2.0,Decreasing,0.0,4.06,Balanced metrics,27.36,Low,,311.0,,-
DGX,Healthcare,186.19,-0.41,66.32,56.83,Neutral,2.32,183.081,Bullish,★★★★☆ →,4.11,0.0,1.7,No,Not expected,Not imminent,1.9,Decreasing,0.03,4.11,Balanced metrics,187.72,Low,,304.0,,-
STAG,Real Estate,38.51,0.18,66.29,55.73,Neutral,1.7,38.3537,Neutral,★★★★☆ →,-0.1,0.0,0.41,No,Not expected,Not imminent,2.0,Decreasing,0.14,-0.1,Balanced metrics,38.5,Low,,726.5,,-
EPRT,Real Estate,30.75,-0.36,66.27,54.84,Neutral,1.92,30.4636,Neutral,★★★★☆ →,2.19,0.0,0.94,No,Not expected,Not imminent,2.0,Decreasing,0.0,2.19,Balanced metrics,30.88,Low,,430.5,,-
APGE,Healthcare,64.83,-1.02,66.23,74.4,Overbought,5.41,57.6925,Bullish,★★★★☆ ↓,19.28,0.0,12.37,No,Likely soon,Not imminent,1.7,Increasing,0.25,19.28,Strong trend; Healthy momentum,67.33,High,,38.0,,-
VZ,Communication Services,41.01,-0.12,66.2,56.06,Neutral,2.03,40.3547,Bullish,★★★★☆ →,3.9,0.0,1.62,No,Not expected,Not imminent,1.9,Decreasing,0.01,3.9,Balanced metrics,41.33,Low,,324.0,,-
KALV,Healthcare,14.86,9.1,66.18,77.08,Overbought,5.04,12.0457,Bullish,★★★★☆ ↓,37.59,0.0,23.36,No,Likely soon,Imminent,2.1,Increasing,0.01,37.59,Strong trend; Healthy momentum,15.98,High,,9.0,,-
HSIC,Healthcare,71.25,-0.25,66.17,60.8,Neutral,3.04,69.114,Bullish,★★★★☆ →,10.23,0.0,3.09,No,Not expected,Not imminent,1.7,Increasing,0.0,10.23,Strong trend; Healthy momentum,72.71,Low,,122.0,,-
IQV,Healthcare,216.12,-2.04,66.14,55.64,Neutral,2.71,214.467,Neutral,★★★★☆ →,1.05,0.0,0.77,No,Not expected,Not imminent,1.7,Decreasing,0.2,1.05,Balanced metrics,216.57,Low,,536.0,,-
ABBV,Healthcare,234.0,0.71,66.13,62.9,Neutral,2.51,226.021,Bullish,★★★★☆ →,10.4,0.0,3.53,No,Not expected,Not imminent,2.4,Increasing,0.02,10.4,Strong trend; Healthy momentum,238.87,Low,,117.0,,-
INVA,Healthcare,21.97,-1.26,66.09,76.25,Overbought,3.47,20.0249,Bullish,★★★★☆ ↓,21.31,0.0,9.71,Possible,Likely soon,Not imminent,2.4,Increasing,0.17,21.31,Strong trend; Healthy momentum,22.91,High,,34.0,,-
D,Utilities,61.5,1.55,66.07,56.92,Neutral,1.75,60.5924,Bullish,★★★★☆ →,5.15,0.0,1.5,No,Not expected,Not imminent,2.0,Decreasing,0.03,5.15,Healthy momentum,62.13,Low,,249.0,,-
NLY,Real Estate,21.5,-0.69,66.03,53.95,Neutral,1.71,21.4176,Neutral,★★★★☆ →,0.94,0.0,0.38,No,Not expected,Not imminent,2.0,Decreasing,0.14,0.94,Balanced metrics,21.54,Low,,546.0,,-
ABT,Healthcare,130.03,-0.43,66.0,57.27,Neutral,1.55,127.7996,Bullish,★★★★☆ →,5.0,0.0,1.75,No,Not expected,Not imminent,2.1,Decreasing,0.0,5.0,Balanced metrics,131.33,Low,,257.5,,-
ARR,Real Estate,16.44,-1.5,65.9,55.21,Neutral,1.88,16.3635,Neutral,★★★★☆ →,0.61,0.0,0.47,No,Not expected,Not imminent,2.0,Decreasing,0.0,0.61,Balanced metrics,16.46,Low,,572.0,,-
PMT,Real Estate,12.33,-1.04,65.85,54.29,Neutral,1.92,12.2458,Neutral,★★★★☆ →,2.41,0.0,0.69,No,Not expected,Not imminent,1.9,Decreasing,0.0,2.41,Balanced metrics,12.39,Low,,409.5,,-
HR,Real Estate,18.1,-0.39,65.76,54.53,Neutral,1.76,17.9586,Neutral,★★★★☆ →,4.05,0.0,0.79,No,Not expected,Not imminent,1.8,Decreasing,0.03,4.05,Balanced metrics,18.25,Low,,312.0,,-
TS,Energy,40.21,-1.16,65.74,61.65,Neutral,2.11,39.3186,Bullish,★★★★☆ →,-1.28,0.0,2.27,No,Not expected,Not imminent,1.8,Decreasing,0.14,-1.28,Balanced metrics,40.11,Low,,909.0,,-
BEPC,Utilities,42.59,0.83,65.72,57.17,Neutral,3.48,42.0156,Bullish,★★★★☆ →,-3.2,0.0,1.37,No,Not expected,Not imminent,2.1,Increasing,0.09,-3.2,Balanced metrics,42.32,Low,,1121.5,,-
GCT,Technology,29.9,-1.71,65.71,52.12,Neutral,7.09,29.5934,Bullish,★★★★☆ →,6.63,0.0,1.04,No,Not expected,Not imminent,1.8,Increasing,0.12,6.63,Healthy momentum,30.3,High,,189.0,,-
CPRI,Consumer Cyclical,21.7,0.0,65.7,52.29,Neutral,4.7,21.5531,Neutral,★★★★☆ →,4.73,0.0,0.68,No,Not expected,Not imminent,2.1,Increasing,0.0,4.73,Balanced metrics,21.91,Low,,275.0,,-
FAZ,Unknown,46.59,5.79,65.69,63.08,Neutral,3.84,43.4187,Bullish,★★★★☆ →,4.25,0.0,7.3,No,Not expected,Imminent,1.6,Increasing,0.0,4.25,Strong trend,46.99,Low,,295.5,,-
COCO,Consumer Defensive,45.43,3.6,65.64,64.23,Neutral,5.45,42.2899,Bullish,★★★★☆ →,11.29,0.0,7.43,No,Not expected,Not imminent,2.0,Increasing,1.0,11.29,Strong trend; Healthy momentum; Recent high,46.46,High,,104.5,,-
HIG,Financial Services,132.06,-1.34,65.62,60.7,Neutral,1.63,129.3851,Bullish,★★★★☆ →,6.27,0.0,2.07,No,Not expected,Not imminent,2.0,Decreasing,0.01,6.27,Healthy momentum,133.72,Low,,200.0,,-
NOMD,Consumer Defensive,12.07,-1.07,65.55,51.98,Neutral,2.57,11.8929,Bullish,★★★★☆ →,9.3,0.0,1.49,No,Not expected,Not imminent,2.4,Increasing,0.0,9.3,Healthy momentum,12.29,Low,,131.0,,-
RTX,Industrials,175.63,0.03,65.53,55.7,Neutral,1.69,174.5359,Neutral,★★★★☆ →,-0.8,0.0,0.63,No,Not expected,Not imminent,2.1,Decreasing,0.04,-0.8,Balanced metrics,175.35,Low,,849.5,,-
OPCH,Healthcare,28.11,-1.06,65.51,52.68,Neutral,4.49,27.8849,Neutral,★★★★☆ →,6.4,0.0,0.81,No,Not expected,Not imminent,2.1,Increasing,0.0,6.4,Healthy momentum,28.47,Low,,196.0,,-
VIPS,Consumer Cyclical,19.6,0.98,65.5,59.52,Neutral,3.21,18.9718,Bullish,★★★★☆ →,11.55,0.0,3.31,No,Not expected,Not imminent,2.0,Increasing,0.02,11.55,Strong trend; Healthy momentum,20.05,Low,,99.0,,-
SPXS,Unknown,38.28,2.79,65.43,57.27,Neutral,3.52,36.7698,Bullish,★★★★☆ →,8.26,0.0,4.11,No,Not expected,Not imminent,1.8,Increasing,0.0,8.26,Strong trend; Healthy momentum,38.91,Low,,147.0,,-
MMM,Industrials,165.39,-1.31,65.36,54.06,Neutral,2.32,164.5084,Neutral,★★★★☆ →,2.41,0.0,0.54,No,Not expected,Not imminent,2.2,Decreasing,0.04,2.41,Balanced metrics,166.19,Low,,409.5,,-
IGF,Unknown,61.85,-0.53,65.36,52.49,Neutral,0.88,61.7356,Neutral,★★★★☆ →,0.95,0.0,0.19,No,Not expected,Not imminent,2.1,Increasing,0.17,0.95,Balanced metrics,61.97,Low,,545.0,,-
CLDX,Healthcare,26.0,1.76,65.35,54.71,Neutral,5.13,25.0272,Bullish,★★★★☆ →,5.05,0.0,3.89,No,Not expected,Not imminent,1.6,Increasing,0.0,5.05,Strong trend; Healthy momentum,26.26,High,,253.0,,-
BSX,Healthcare,101.76,-0.91,65.34,53.39,Neutral,1.85,101.0918,Neutral,★★★★☆ →,3.22,0.0,0.66,No,Not expected,Not imminent,2.1,Decreasing,0.01,3.22,Balanced metrics,102.42,Low,,358.0,,-
DHT,Energy,13.58,-0.66,65.25,67.55,Neutral,2.55,13.0855,Bullish,★★★★☆ →,4.14,0.0,3.78,No,Not expected,Not imminent,2.0,Decreasing,0.25,4.14,Strong trend,13.69,Low,,301.5,,-
DOCN,Technology,44.55,-2.81,65.18,53.43,Neutral,7.31,44.0906,Bullish,★★★★☆ →,7.53,0.0,1.04,No,Not expected,Not imminent,1.8,Increasing,0.12,7.53,Healthy momentum,45.22,High,,166.0,,-
SIVR,Unknown,47.74,-1.0,65.14,53.77,Neutral,2.67,47.2838,Neutral,★★★★☆ →,3.96,0.0,0.96,No,Not expected,Not imminent,1.9,Decreasing,0.03,3.96,Balanced metrics,48.12,Low,,317.5,,-
INTA,Technology,41.41,-3.85,65.11,55.53,Neutral,4.28,40.2728,Bullish,★★★★☆ →,8.97,0.0,2.82,No,Not expected,Not imminent,1.9,Increasing,0.0,8.97,Strong trend; Healthy momentum,42.15,Low,,136.0,,-
IHI,Unknown,61.7,-0.98,65.09,52.72,Neutral,1.32,61.5233,Neutral,★★★★☆ →,1.58,0.0,0.29,No,Not expected,Not imminent,1.7,Decreasing,0.0,1.58,Balanced metrics,61.89,Low,,480.5,,-
SPXU,Unknown,13.62,2.87,65.09,57.37,Neutral,3.52,13.0787,Bullish,★★★★☆ →,8.18,0.0,4.14,No,Not expected,Not imminent,1.6,Increasing,0.0,8.18,Strong trend; Healthy momentum,13.84,Low,,150.0,,-
INFA,Technology,24.79,0.0,65.09,40.82,Neutral,0.18,24.8343,Neutral,★★★★☆ →,-0.24,0.0,-0.18,No,Not expected,Not imminent,1.8,Increasing,0.0,-0.24,Balanced metrics,24.78,Low,,759.0,,-
CARS,Communication Services,11.22,-1.32,65.06,49.85,Neutral,4.63,11.1756,Neutral,★★★★☆ →,3.51,0.0,0.4,No,Not expected,Not imminent,1.7,Increasing,0.0,3.51,Balanced metrics,11.3,Low,,338.0,,-
TMO,Healthcare,567.16,-2.0,65.01,56.03,Neutral,2.49,565.3029,Neutral,★★★★☆ →,0.4,0.0,0.33,No,Not expected,Not imminent,2.4,Decreasing,0.0,0.4,Balanced metrics,567.61,Low,,594.0,,-
PDBC,Unknown,13.64,-0.15,64.99,54.04,Neutral,0.95,13.5942,Neutral,★★★★☆ →,-0.58,0.0,0.34,No,Not expected,Not imminent,2.5,Decreasing,0.0,-0.58,Balanced metrics,13.62,Low,,817.5,,-
IBN,Financial Services,31.07,-0.26,64.98,52.39,Neutral,1.34,30.8173,Neutral,★★★★☆ →,1.94,0.0,0.82,No,Not expected,Not imminent,1.7,Decreasing,0.01,1.94,Balanced metrics,31.19,Low,,457.0,,-
CB,Financial Services,295.58,0.03,64.95,68.08,Neutral,1.49,286.5785,Bullish,★★★★☆ →,6.23,0.0,3.14,No,Not expected,Not imminent,1.8,Decreasing,0.0,6.23,Strong trend; Healthy momentum,299.26,Low,,201.0,,-
TW,Financial Services,109.65,0.12,64.89,52.61,Neutral,2.4,108.5929,Neutral,★★★★☆ →,4.1,0.0,0.97,No,Not expected,Not imminent,2.1,Decreasing,0.0,4.1,Balanced metrics,110.55,Low,,306.5,,-
NAMS,Healthcare,38.56,0.55,64.75,57.51,Neutral,7.19,37.0719,Bullish,★★★★☆ →,4.22,0.0,4.01,No,Not expected,Not imminent,1.9,Increasing,0.03,4.22,Strong trend,38.89,High,,297.0,,-
BILL,Technology,49.63,-1.43,64.75,50.86,Neutral,4.7,49.1894,Neutral,★★★★☆ →,0.87,0.0,0.9,No,Not expected,Not imminent,2.1,Increasing,0.0,0.87,Balanced metrics,49.72,Low,,551.5,,-
CGCP,Unknown,22.63,-0.09,64.7,41.28,Neutral,0.28,22.7107,Neutral,★★★★☆ →,-0.18,0.0,-0.36,No,Not expected,Not imminent,2.3,Increasing,0.05,-0.18,Balanced metrics,22.62,Low,,748.0,,-
AAPD,Unknown,13.36,1.91,64.69,45.63,Neutral,1.95,13.3573,Neutral,★★★★☆ →,0.75,0.0,0.02,No,Not expected,Not imminent,1.5,Decreasing,0.0,0.75,Balanced metrics,13.38,Low,,566.5,,-
COMM,Technology,16.51,-1.61,64.66,51.83,Neutral,5.81,16.4867,Neutral,★★★★☆ →,2.36,0.0,0.14,No,Not expected,Not imminent,1.8,Increasing,0.17,2.36,Balanced metrics,16.59,High,,414.0,,-
LQD,Unknown,110.32,0.06,64.64,40.58,Neutral,0.43,110.9692,Neutral,★★★★☆ →,-0.19,0.0,-0.59,No,Not expected,Not imminent,2.2,Increasing,0.05,-0.19,Balanced metrics,110.28,Low,,751.5,,-
SPBO,Unknown,29.35,0.0,64.64,41.12,Neutral,0.35,29.4834,Neutral,★★★★☆ →,-0.1,0.0,-0.45,No,Not expected,Not imminent,2.3,Increasing,0.05,-0.1,Balanced metrics,29.34,Low,,726.5,,-
AUPH,Healthcare,15.49,0.91,64.62,71.89,Overbought,5.8,13.995,Bullish,★★★★☆ ↓,17.62,0.0,10.68,No,Likely soon,Not imminent,1.9,Increasing,0.14,17.62,Strong trend; Healthy momentum,16.04,High,,45.0,,-
LNG,Energy,215.21,0.01,64.62,47.03,Neutral,2.15,214.6559,Neutral,★★★★☆ →,2.95,0.0,0.26,No,Not expected,Not imminent,2.0,Decreasing,0.0,2.95,Balanced metrics,216.48,Low,,375.5,,-
PLNT,Consumer Cyclical,102.23,-3.47,64.61,54.82,Neutral,3.64,100.1224,Bullish,★★★★☆ →,11.22,0.0,2.11,No,Not expected,Not imminent,1.8,Increasing,0.01,11.22,Healthy momentum,104.52,Low,,106.5,,-
SLV,Unknown,45.47,-1.07,64.55,53.72,Neutral,2.7,45.0399,Neutral,★★★★☆ →,3.91,0.0,0.95,No,Not expected,Not imminent,1.9,Decreasing,0.03,3.91,Balanced metrics,45.83,Low,,322.5,,-
VKTX,Healthcare,38.22,-2.28,64.54,57.85,Neutral,7.4,36.7902,Bullish,★★★★☆ →,6.17,0.0,3.89,No,Not expected,Not imminent,2.0,Increasing,0.0,6.17,Strong trend; Healthy momentum,38.69,High,,205.0,,-
CNC,Healthcare,37.08,1.92,64.53,56.04,Neutral,5.18,35.8682,Bullish,★★★★☆ →,7.48,0.0,3.38,No,Not expected,Not imminent,1.8,Increasing,0.0,7.48,Strong trend; Healthy momentum,37.63,High,,168.0,,-
PFF,Unknown,30.64,-0.81,64.52,33.88,Neutral,0.7,31.084,Bearish,★★★★☆ →,-1.23,0.0,-1.43,No,Not expected,Not imminent,1.9,Increasing,0.02,-1.23,Balanced metrics,30.56,Low,,902.5,,-
HL,Basic Materials,13.98,-4.25,64.52,54.21,Neutral,7.63,13.6987,Bullish,★★★★☆ →,9.56,0.0,2.05,No,Not expected,Not imminent,1.9,Increasing,0.17,9.56,Healthy momentum,14.25,High,,125.0,,-
COHR,Technology,139.07,-0.19,64.52,52.96,Neutral,8.4,138.7845,Neutral,★★★★☆ →,5.36,0.0,0.21,No,Not expected,Not imminent,2.2,Increasing,0.12,5.36,Healthy momentum,140.56,High,,241.5,,-
AAPL,Technology,267.46,-1.82,64.51,54.62,Neutral,2.05,267.2967,Neutral,★★★★☆ →,-0.49,0.0,0.06,No,Not expected,Not imminent,2.5,Decreasing,0.14,-0.49,Balanced metrics,267.2,Low,,793.5,,-
PHAT,Healthcare,14.41,-1.03,64.5,61.43,Neutral,7.44,13.7486,Bullish,★★★★☆ →,4.95,0.0,4.81,No,Not expected,Not imminent,1.9,Increasing,0.2,4.95,Strong trend,14.55,High,,261.0,,-
YETI,Consumer Cyclical,35.97,-3.57,64.47,52.29,Neutral,4.06,35.7913,Neutral,★★★★☆ →,7.25,0.0,0.5,No,Not expected,Not imminent,2.1,Increasing,0.0,7.25,Healthy momentum,36.49,Low,,174.0,,-
FNDF,Unknown,44.22,-1.27,64.44,52.5,Neutral,0.98,44.2117,Neutral,★★★★☆ →,0.25,0.0,0.02,No,Not expected,Not imminent,2.3,Increasing,0.17,0.25,Balanced metrics,44.24,Low,,620.5,,-
QID,Unknown,21.29,1.77,64.4,56.49,Neutral,3.31,20.5501,Bullish,★★★★☆ →,9.52,0.0,3.6,No,Not expected,Not imminent,1.6,Increasing,0.0,9.52,Strong trend; Healthy momentum,21.7,Low,,126.0,,-
WRB,Financial Services,77.1,0.13,64.38,63.02,Neutral,1.66,75.3052,Bullish,★★★★☆ →,7.41,0.0,2.38,No,Not expected,Not imminent,2.3,Decreasing,0.03,7.41,Healthy momentum,78.24,Low,,170.0,,-
YOU,Technology,35.25,-3.82,64.35,56.11,Neutral,5.02,34.2883,Bullish,★★★★☆ →,14.23,0.0,2.8,No,Not expected,Not imminent,2.3,Increasing,0.17,14.23,Strong trend; Healthy momentum,36.25,High,,69.5,,-
GMAB,Healthcare,30.42,0.53,64.29,56.62,Neutral,2.42,29.8529,Bullish,★★★★☆ →,5.96,0.0,1.9,No,Not expected,Not imminent,2.4,Decreasing,0.02,5.96,Healthy momentum,30.78,Low,,215.0,,-
ACGL,Financial Services,91.81,-0.77,64.27,61.37,Neutral,1.77,89.584,Bullish,★★★★☆ →,6.76,0.0,2.48,No,Not expected,Not imminent,1.8,Decreasing,0.0,6.76,Healthy momentum,93.05,Low,,184.0,,-
BMRN,Healthcare,54.46,-0.49,64.23,53.94,Neutral,3.03,53.632,Bullish,★★★★☆ →,3.05,0.0,1.54,No,Not expected,Not imminent,1.9,Decreasing,0.0,3.05,Balanced metrics,54.79,Low,,364.0,,-
KIE,Unknown,58.3,-1.25,64.2,52.37,Neutral,1.38,58.0612,Neutral,★★★★☆ →,4.09,0.0,0.41,No,Not expected,Not imminent,1.8,Decreasing,0.0,4.09,Balanced metrics,58.78,Low,,309.0,,-
ACI,Consumer Defensive,18.12,-0.49,64.19,51.58,Neutral,2.21,17.9889,Neutral,★★★★☆ →,3.01,0.0,0.73,No,Not expected,Not imminent,2.3,Decreasing,0.0,3.01,Balanced metrics,18.23,Low,,369.0,,-
IGLB,Unknown,50.73,0.12,64.19,39.4,Neutral,0.63,51.2344,Neutral,★★★★☆ →,-0.47,0.0,-0.98,No,Not expected,Not imminent,2.1,Increasing,0.05,-0.47,Balanced metrics,50.68,Low,,790.5,,-
AZN,Healthcare,89.4,0.34,64.19,69.29,Neutral,1.95,85.4533,Bullish,★★★★☆ →,9.4,0.0,4.62,No,Not expected,Not imminent,2.0,Increasing,1.0,9.4,Strong trend; Healthy momentum; Recent high,91.08,Low,,128.0,,-
BDCIU,Financial Services,10.26,-0.68,64.18,57.65,Neutral,0.43,10.3243,Neutral,★★★★☆ →,-0.39,0.0,-0.62,No,Not expected,Not imminent,1.9,Decreasing,0.04,-0.39,Balanced metrics,10.25,Low,,775.0,,-
WTRG,Utilities,39.94,0.68,64.15,54.75,Neutral,2.28,39.4461,Bullish,★★★★☆ →,5.8,0.0,1.25,No,Not expected,Not imminent,2.0,Decreasing,0.03,5.8,Healthy momentum,40.4,Low,,217.0,,-
SPLV,Unknown,71.85,-0.22,64.15,50.11,Neutral,0.97,71.7574,Neutral,★★★★☆ →,2.2,0.0,0.13,No,Not expected,Not imminent,1.7,Decreasing,0.01,2.2,Balanced metrics,72.17,Low,,427.5,,-
SPLB,Unknown,22.71,0.04,64.14,38.9,Neutral,0.67,22.9588,Bearish,★★★★☆ →,-0.44,0.0,-1.08,No,Not expected,Not imminent,2.1,Increasing,0.05,-0.44,Balanced metrics,22.69,Low,,783.5,,-
